Group, Name,Code(mut),Spec(mut),Time(mut),Backtrackings(mut),Rules(mut)
Integers,min of two,10,9,0.9,3,74
Singly Linked List,max,FAIL,22,-,FAIL,4300
Singly Linked List,deallocate,11,2,0.5,4,44
Singly Linked List,append,FAIL,17,-,FAIL,3034
Singly Linked List,delete,FAIL,16,-,FAIL,2320
Singly Linked List,deallocate two,25,4,1.3,9,272
Singly Linked List,non-destructive append,FAIL,21,-,FAIL,4006
Singly Linked List,deduplicate,FAIL,10,-,FAIL,2044
Sorted list,prepend,FAIL,29,-,FAIL,252
Sorted list,insert,FAIL,21,-,FAIL,1148
Sorted list,reverse,FAIL,9,-,FAIL,2963
Doubly Linked List,single to double,FAIL,11,-,FAIL,606
List of Lists,deallocate,32,3,2.4,11,490
List of Lists,flatten,FAIL,12,-,FAIL,3044
Binary Tree,size,FAIL,13,-,FAIL,2214
Binary Tree,deallocate,16,2,0.9,6,121
Binary Tree,deallocate two,FAIL,4,-,FAIL,5119
Binary Tree,flatten w/append,FAIL,10,-,FAIL,3216
BST,rotate left,FAIL,74,-,FAIL,3103
BST,from list,FAIL,15,-,FAIL,2018
BST,to sorted list,FAIL,15,-,FAIL,2173
Rose Tree,deallocate,24,2,1.4,9,206
Rose Tree,flatten,FAIL,10,-,FAIL,277
Packed Tree,pack,FAIL,36,-,FAIL,1787
