Group, Name,Code(mut),Spec(mut),Time(mut),Backtrackings(mut),Rules(mut)
Integers,min of two,10,9,0.9,3,72
Singly Linked List,max,FAIL,22,-,FAIL,4036
Singly Linked List,deallocate,11,2,0.6,4,44
Singly Linked List,append,FAIL,17,-,FAIL,4715
Singly Linked List,delete,FAIL,16,-,FAIL,3647
Singly Linked List,deallocate two,25,4,1.5,9,360
Singly Linked List,non-destructive append,FAIL,21,-,FAIL,3828
Singly Linked List,deduplicate,FAIL,10,-,FAIL,3569
Sorted list,prepend,FAIL,29,-,FAIL,252
Sorted list,insert,FAIL,21,-,FAIL,1216
Sorted list,reverse,FAIL,9,-,FAIL,2886
Doubly Linked List,single to double,66,11,8.4,23,3196
List of Lists,deallocate,32,3,2.8,11,640
List of Lists,flatten,FAIL,12,-,FAIL,4743
Binary Tree,size,FAIL,13,-,FAIL,7534
Binary Tree,deallocate,16,2,1.0,6,121
Binary Tree,deallocate two,FAIL,4,-,FAIL,4128
Binary Tree,flatten w/append,48,10,7.9,17,3302
BST,rotate left,FAIL,74,-,FAIL,3219
BST,from list,FAIL,15,-,FAIL,1845
BST,to sorted list,FAIL,15,-,FAIL,3232
Rose Tree,deallocate,24,2,1.4,9,206
Rose Tree,flatten,FAIL,10,-,FAIL,2962
Packed Tree,pack,FAIL,36,-,FAIL,1794
